Date,tickers,Open,Close,Volume
2020-08-24 00:00:00+05:30,INFY.NS,842.2167470826626,842.572509765625,5798574
2020-08-25 00:00:00+05:30,INFY.NS,842.6614484350185,834.301513671875,6233918
2020-08-26 00:00:00+05:30,INFY.NS,837.1030082860296,845.5963134765625,5153601
2020-08-27 00:00:00+05:30,INFY.NS,853.7782937314274,842.2611694335938,6154280
2020-08-28 00:00:00+05:30,INFY.NS,846.174427767487,831.7669067382812,7593610
2020-08-31 00:00:00+05:30,INFY.NS,831.7669380943386,825.8527221679688,12808355
2020-09-01 00:00:00+05:30,INFY.NS,823.7627301512396,813.0015869140625,6907773
2020-09-02 00:00:00+05:30,INFY.NS,813.7574857241148,821.7616577148438,5678118
2020-09-03 00:00:00+05:30,INFY.NS,823.9850019744846,832.0336303710938,8827948
2020-09-04 00:00:00+05:30,INFY.NS,813.757468945879,817.4483032226562,8650342
2020-09-07 00:00:00+05:30,INFY.NS,817.2260104568487,822.6954956054688,6700385
2020-09-08 00:00:00+05:30,INFY.NS,827.0533504307423,835.3687744140625,12891964
2020-09-09 00:00:00+05:30,INFY.NS,831.544546026067,825.0967407226562,5528947
2020-09-10 00:00:00+05:30,INFY.NS,831.8113424295236,836.0357666015625,5171884
2020-09-11 00:00:00+05:30,INFY.NS,831.455552138668,841.060546875,6671903
2020-09-14 00:00:00+05:30,INFY.NS,851.1102919718684,870.1424560546875,21871587
2020-09-15 00:00:00+05:30,INFY.NS,871.1207231515052,873.7443237304688,11608203
2020-09-16 00:00:00+05:30,INFY.NS,876.9014523655867,890.9087524414062,10059251
2020-09-17 00:00:00+05:30,INFY.NS,884.9056759314532,899.1353149414062,15628241
2020-09-18 00:00:00+05:30,INFY.NS,899.1353965162548,891.2646484375,12897633
2020-09-21 00:00:00+05:30,INFY.NS,890.2418455909096,898.1571044921875,14140637
2020-09-22 00:00:00+05:30,INFY.NS,897.3567339194324,896.022705078125,12625762
2020-09-23 00:00:00+05:30,INFY.NS,907.2729990504249,906.917236328125,13486204
2020-09-24 00:00:00+05:30,INFY.NS,892.0205328793263,867.4744262695312,14427432
2020-09-25 00:00:00+05:30,INFY.NS,867.8299689820432,899.535400390625,13311078
2020-09-28 00:00:00+05:30,INFY.NS,902.5149251539887,898.601806640625,8554526
2020-09-29 00:00:00+05:30,INFY.NS,905.3608621043422,897.356689453125,8708463
2020-09-30 00:00:00+05:30,INFY.NS,897.3566505891822,896.6896362304688,8048817
2020-10-01 00:00:00+05:30,INFY.NS,907.6730456893221,905.0494995117188,5563358
2020-10-05 00:00:00+05:30,INFY.NS,905.4052591225199,932.6638793945312,14212509
2020-10-06 00:00:00+05:30,INFY.NS,938.266762569282,938.9337768554688,9090819
2020-10-07 00:00:00+05:30,INFY.NS,929.2843177405523,948.538818359375,9284008
2020-10-08 00:00:00+05:30,INFY.NS,969.3940710456617,972.6846313476562,21482613
2020-10-09 00:00:00+05:30,INFY.NS,973.9296572593751,984.3351440429688,10567867
2020-10-12 00:00:00+05:30,INFY.NS,998.742851511236,1006.8359375,14633537
2020-10-13 00:00:00+05:30,INFY.NS,1009.9042894014077,1029.6923828125,17523825
2020-10-14 00:00:00+05:30,INFY.NS,1033.4273494831175,1011.1935424804688,16649573
2020-10-15 00:00:00+05:30,INFY.NS,1049.4358528631146,985.6248168945312,44288251
2020-10-16 00:00:00+05:30,INFY.NS,990.6051905651315,1002.744873046875,18365685
2020-10-19 00:00:00+05:30,INFY.NS,1009.4150461550238,1001.3219604492188,12902123
2020-10-20 00:00:00+05:30,INFY.NS,995.0964335806225,1011.6383666992188,10448776
2020-10-21 00:00:00+05:30,INFY.NS,1014.8846083755086,1021.2879028320312,19811433
2020-10-22 00:00:00+05:30,INFY.NS,1015.6405454625265,1004.1234741210938,11271335
2020-10-23 00:00:00+05:30,INFY.NS,1018.4611632077359,1009.0226440429688,9069862
2020-10-26 00:00:00+05:30,INFY.NS,1008.7977301307226,999.9884033203125,6309368
2020-10-27 00:00:00+05:30,INFY.NS,993.9206976714057,980.5719604492188,10172479
2020-10-28 00:00:00+05:30,INFY.NS,984.7519445015805,967.7177124023438,7608392
2020-10-29 00:00:00+05:30,INFY.NS,961.8298401019129,966.1895141601562,6935616
2020-10-30 00:00:00+05:30,INFY.NS,963.6275587030345,953.3800048828125,8800386
2020-11-02 00:00:00+05:30,INFY.NS,957.3353391318722,963.8973999023438,7183119
2020-11-03 00:00:00+05:30,INFY.NS,963.6276783837158,955.133056640625,7204782
2020-11-04 00:00:00+05:30,INFY.NS,960.0320646738911,983.358642578125,15702690
2020-11-05 00:00:00+05:30,INFY.NS,997.6963314474965,992.3927612304688,9568890
2020-11-06 00:00:00+05:30,INFY.NS,995.988312185815,1000.2581176757812,8807127
2020-11-09 00:00:00+05:30,INFY.NS,1015.1350282935933,1021.652099609375,10160320
2020-11-10 00:00:00+05:30,INFY.NS,1001.2468925999046,980.7518920898438,15622869
2020-11-11 00:00:00+05:30,INFY.NS,985.2016194842706,1009.0226440429688,12514800
2020-11-12 00:00:00+05:30,INFY.NS,1014.0561605672646,1004.7525024414062,9180976
2020-11-13 00:00:00+05:30,INFY.NS,1006.7752349055525,1010.5505981445312,6363212
2020-11-14 00:00:00+05:30,INFY.NS,1022.0566403258856,1018.865478515625,1136144
2020-11-17 00:00:00+05:30,INFY.NS,1029.0230355852846,1010.1010131835938,12813968
2020-11-18 00:00:00+05:30,INFY.NS,1014.4157810784924,998.2804565429688,9839468
2020-11-19 00:00:00+05:30,INFY.NS,988.7970561994244,985.8756103515625,10092343
2020-11-20 00:00:00+05:30,INFY.NS,994.1904123218496,991.8082885742188,8063554
2020-11-23 00:00:00+05:30,INFY.NS,993.2915430229722,1024.618408203125,10546363
2020-11-24 00:00:00+05:30,INFY.NS,1029.2477602687143,1024.7982177734375,8515426
2020-11-25 00:00:00+05:30,INFY.NS,1022.05649634741,1002.8648681640625,8958701
2020-11-26 00:00:00+05:30,INFY.NS,1006.7301546757675,1000.6625366210938,10962256
2020-11-27 00:00:00+05:30,INFY.NS,1004.97737360174,988.7970581054688,25306145
2020-12-01 00:00:00+05:30,INFY.NS,993.3365538132581,1022.8206176757812,8933802
2020-12-02 00:00:00+05:30,INFY.NS,1019.3599015562708,1025.5623779296875,6741637
2020-12-03 00:00:00+05:30,INFY.NS,1031.0456914363194,1012.5731201171875,16212632
2020-12-04 00:00:00+05:30,INFY.NS,1011.2697447771411,1019.9442138671875,10564055
2020-12-07 00:00:00+05:30,INFY.NS,1031.3153020938412,1027.8994140625,7792141
2020-12-08 00:00:00+05:30,INFY.NS,1029.2476945184412,1036.7535400390625,12308330
2020-12-09 00:00:00+05:30,INFY.NS,1049.9675609772876,1056.3946533203125,10039346
2020-12-10 00:00:00+05:30,INFY.NS,1040.394217326194,1049.6978759765625,9488782
2020-12-11 00:00:00+05:30,INFY.NS,1042.461494261261,1045.607666015625,10574009
2020-12-14 00:00:00+05:30,INFY.NS,1051.1812074687161,1046.821533203125,6728187
2020-12-15 00:00:00+05:30,INFY.NS,1039.1358102562535,1037.8773193359375,6905926
2020-12-16 00:00:00+05:30,INFY.NS,1042.731380166364,1047.8551025390625,7788404
2020-12-17 00:00:00+05:30,INFY.NS,1048.0351910236711,1042.012451171875,6658153
2020-12-18 00:00:00+05:30,INFY.NS,1063.2716980480618,1069.5191650390625,15995676
2020-12-21 00:00:00+05:30,INFY.NS,1067.9007245831328,1058.282470703125,10858352
2020-12-22 00:00:00+05:30,INFY.NS,1062.5072206015082,1097.1151123046875,10901851
2020-12-23 00:00:00+05:30,INFY.NS,1112.8461700775822,1126.374755859375,15878346
2020-12-24 00:00:00+05:30,INFY.NS,1123.5429695500852,1111.0931396484375,7313885
2020-12-28 00:00:00+05:30,INFY.NS,1113.2506315988899,1114.9136962890625,4607051
2020-12-29 00:00:00+05:30,INFY.NS,1110.1495187971482,1123.90283203125,6878105
2020-12-30 00:00:00+05:30,INFY.NS,1126.329645148234,1120.7564697265625,5194690
2020-12-31 00:00:00+05:30,INFY.NS,1117.3406340929403,1128.8466796875,7430470
2021-01-01 00:00:00+05:30,INFY.NS,1130.734343854036,1133.0264892578125,4253550
2021-01-04 00:00:00+05:30,INFY.NS,1140.7121659257957,1158.01611328125,7208454
